year,GW_st,withdrawal,rainfed,irrigated,corn,others,corn_yield,others_yield,corn_irr_vol,others_irr_vol,total_irr_vol,total_irr_depth,Imitation,Social comparison,Repetition,Deliberation,total_profit,corn_profit,others_profit,profit_irr_depth,total_energy,energy_irr_depth
2012,18.65759026781698,38.64751242837718,0.4226190476190476,0.5773809523809523,0.6726190476190477,0.3273809523809524,346.05549519,41.21419687,33.81672439,4.8307881,38.64751249,7729.5024856,0.0,69.0,228.0,39.0,2554.59511084,2260.67955545,293.91555539,0.33049929353139995,0.03078707,3.983059719219453e-06
2013,18.404070475677266,26.650144777634793,0.39285714285714285,0.6071428571428571,0.5892857142857143,0.4107142857142857,376.27823721,82.43574133,23.3365188,3.3136259200000002,26.65014472,5330.02895552,65.0,1.0,267.0,3.0,2213.89117748,1553.54546193,660.34571555,0.41536194192476233,0.02143967,4.022430305523235e-06
2014,18.25839252836922,23.392083000242998,0.4375,0.5625,0.5744047619047619,0.4255952380952381,391.34717713,98.54339719000001,20.62647861,2.76560442,23.39208303,4678.41660009,29.0,0.0,307.0,0.0,1800.69089719,1278.20767375,522.48322344,0.38489323442366363,0.01887985,4.035521334213119e-06
2015,18.126904649526686,22.96338002545425,0.40773809523809523,0.5922619047619048,0.5565476190476191,0.44345238095238093,394.65346943000003,104.65127116000001,20.23265735,2.73072262,22.96337997,4592.67600508,135.0,1.0,151.0,49.0,1561.16654709,1121.68263861,439.48390848,0.33992525171886273,0.01860157,4.050268292260251e-06
2016,17.934950055318673,24.79016900930555,0.4255952380952381,0.5744047619047619,0.5803571428571429,0.41964285714285715,383.05276884,94.94795627,21.55927895,3.23089007,24.79016902,4958.03380173,113.0,45.0,169.0,9.0,1218.07586194,872.58805918,345.48780276,0.24567720000516707,0.020117780000000002,4.057612514255214e-06
2017,17.92399414893275,19.321930706523325,0.40773809523809523,0.5922619047619048,0.6309523809523809,0.36904761904761907,465.15978014,92.31250915,18.23478132,1.08714944,19.32193076,3864.38614127,123.0,25.0,175.0,13.0,1519.47864989,1133.03963422,386.43901567,0.393200522500227,0.01574341,4.073974345334458e-06
2018,17.759881598796728,23.949019641571635,0.4494047619047619,0.5505952380952381,0.6815476190476191,0.31845238095238093,467.42924847,74.91578126,22.77068487,1.17833447,23.94901934,4789.80392835,40.0,0.0,296.0,0.0,1994.24635426,1594.71373884,399.53261542,0.4163523985723945,0.01947699,4.066343902872339e-06
2019,17.920441397663907,14.140187345402476,0.4255952380952381,0.5744047619047619,0.7202380952380952,0.27976190476190477,542.77476388,66.08009895000001,14.12142199,0.018765360000000002,14.14018735,2828.0374692,150.0,1.0,178.0,7.0,1915.14694468,1614.0360209,301.11092378,0.6771999895820899,0.0115245,4.075087450400744e-06
2020,17.65740643444207,26.937612181928593,0.4107142857142857,0.5892857142857143,0.6875,0.3125,365.6891056,53.98931138,25.00436397,1.9332485099999999,26.93761248,5387.522436310001,172.0,52.0,112.0,0.0,1309.44175778,1042.51006822,266.93168956,0.24305082220258137,0.02194861,4.0739709689326045e-06
2021,17.477267773026085,24.433192187794063,0.44047619047619047,0.5595238095238095,0.6607142857142857,0.3392857142857143,429.0597804,75.05337729,22.48998468,1.94320778,24.43319246,4886.63843743,69.0,0.0,267.0,0.0,2382.45086196,1885.5801987,496.87066326,0.4875439205223843,0.01998695,4.0901225363650225e-06
2022,17.2058282235488,27.191527174540365,0.4107142857142857,0.5892857142857143,0.6934523809523809,0.30654761904761907,349.35379429,45.3063551,25.42608312,1.76544385,27.191526969999998,5438.3054349,34.0,51.0,251.0,0.0,4269.203596,3802.6629907,466.5406053,0.7850246086956869,0.02226919,4.0948766608599815e-06
