Year,corn,sorghum,soybeans,wheat
2007,4.555954099989389,5.572757666078266,11.246633918839404,6.994035578898631
2008,4.685042985931454,4.825702475116463,11.074229783142826,8.158250372730524
2009,4.164270475489076,3.9199521294695083,10.907456825629144,6.069953574441704
2010,5.272236466779176,5.5018827149821545,12.25915166287559,6.452747367648676
2011,6.944001195879772,7.083813300494801,13.271793486234046,7.68448752772974
2012,7.59971048895006,6.3219066502474,14.874733747397581,8.573772180457677
2013,5.1,5.56,13.09,10.99
2014,4.088674029298459,4.544640322990579,9.42707513855096,6.179752804812112
2015,3.666106692768873,3.5292806459811588,8.256111586932583,5.150241037562706
2016,3.125415258721621,2.513920968971738,9.123883053410943,3.736909548471503
2017,3.1742672160574408,3.098236863577023,8.638948800587466,4.737641338936031
2018,4.1840174507281755,5.037519901874499,8.81334052814139,5.074628704098253
2019,3.6721729113617068,3.1436715990565482,8.137097791181152,4.474036971410913
2020,3.9244565339185744,4.370208442256251,9.28908060322011,4.83356229062907
2021,5.218470642506549,5.596745285455953,12.242342989998892,6.095380042071077
2022,12.027746903350362,14.240661290598146,12.242342989998892,7.5143567682083
